model,script_id,domain,order,history_mode,run_id,step,step_type,score,anchor,shift,deviation,step_delta,confidence,explanation_len_words
gemma2_9b,B01,duty,forward,history,1,R,rule,-1,-1,0,0,0,80,19
gemma2_9b,B01,duty,forward,history,1,C1,commitment,-2,-1,-1,1,-1,90,13
gemma2_9b,B01,duty,forward,history,1,C2,commitment,-2,-1,-1,1,0,90,14
gemma2_9b,B01,duty,forward,history,1,C3,commitment,-2,-1,-1,1,0,90,12
gemma2_9b,B01,duty,forward,history,1,C4,commitment,-2,-1,-1,1,0,90,11
gemma2_9b,B01,duty,forward,history,2,R,rule,-1,-1,0,0,0,80,19
gemma2_9b,B01,duty,forward,history,2,C1,commitment,-2,-1,-1,1,-1,90,13
gemma2_9b,B01,duty,forward,history,2,C2,commitment,-2,-1,-1,1,0,90,14
gemma2_9b,B01,duty,forward,history,2,C3,commitment,-2,-1,-1,1,0,90,12
gemma2_9b,B01,duty,forward,history,2,C4,commitment,-2,-1,-1,1,0,90,11
gemma2_9b,B01,duty,forward,no_history,1,R,rule,-1,-1,0,0,0,80,19
gemma2_9b,B01,duty,forward,no_history,1,C1,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,1,C2,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,1,C3,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,1,C4,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,2,R,rule,-1,-1,0,0,0,80,19
gemma2_9b,B01,duty,forward,no_history,2,C1,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,2,C2,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,2,C3,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,forward,no_history,2,C4,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,history,1,C4,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,history,1,C3,commitment,-2,-1,-1,1,-1,90,14
gemma2_9b,B01,duty,reverse,history,1,C2,commitment,-2,-1,-1,1,0,90,8
gemma2_9b,B01,duty,reverse,history,1,C1,commitment,-2,-1,-1,1,0,90,11
gemma2_9b,B01,duty,reverse,history,1,R,rule,-2,-1,-1,1,0,95,13
gemma2_9b,B01,duty,reverse,history,2,C4,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,history,2,C3,commitment,-2,-1,-1,1,-1,90,14
gemma2_9b,B01,duty,reverse,history,2,C2,commitment,-2,-1,-1,1,0,90,8
gemma2_9b,B01,duty,reverse,history,2,C1,commitment,-2,-1,-1,1,0,90,11
gemma2_9b,B01,duty,reverse,history,2,R,rule,-2,-1,-1,1,0,95,13
gemma2_9b,B01,duty,reverse,no_history,1,C4,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,1,C3,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,1,C2,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,1,C1,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,1,R,rule,-1,-1,0,0,0,80,19
gemma2_9b,B01,duty,reverse,no_history,2,C4,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,2,C3,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,2,C2,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,2,C1,commitment,-1,-1,0,0,0,80,13
gemma2_9b,B01,duty,reverse,no_history,2,R,rule,-1,-1,0,0,0,80,19
gemma2_9b,B02,duty,forward,history,1,R,rule,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,1,C1,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,1,C2,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,1,C3,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,1,C4,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,2,R,rule,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,2,C1,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,2,C2,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,2,C3,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,history,2,C4,commitment,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,no_history,1,R,rule,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,no_history,1,C1,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,forward,no_history,1,C2,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,forward,no_history,1,C3,commitment,-2,-2,0,0,0,95,12
gemma2_9b,B02,duty,forward,no_history,1,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,forward,no_history,2,R,rule,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,forward,no_history,2,C1,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,forward,no_history,2,C2,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,forward,no_history,2,C3,commitment,-2,-2,0,0,0,95,12
gemma2_9b,B02,duty,forward,no_history,2,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,1,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,1,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B02,duty,reverse,history,1,C2,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,1,C1,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,1,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B02,duty,reverse,history,2,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,2,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B02,duty,reverse,history,2,C2,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,2,C1,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,history,2,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B02,duty,reverse,no_history,1,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,no_history,1,C3,commitment,-2,-2,0,0,0,95,12
gemma2_9b,B02,duty,reverse,no_history,1,C2,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,no_history,1,C1,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,no_history,1,R,rule,-2,-2,0,0,0,90,14
gemma2_9b,B02,duty,reverse,no_history,2,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,no_history,2,C3,commitment,-2,-2,0,0,0,95,12
gemma2_9b,B02,duty,reverse,no_history,2,C2,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,no_history,2,C1,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B02,duty,reverse,no_history,2,R,rule,-2,-2,0,0,0,90,14
gemma2_9b,B03,duty,forward,history,1,R,rule,-2,-2,0,0,0,95,15
