conversation_id,model,domain,order,history_mode,run_id,anchor,max_excursion,volatility,final_shift,ndi,trajectory_consistent,rule_shift
gemma2_9b|B01|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,1,1,-1,1.0,True,
gemma2_9b|B01|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,1,1,-1,1.0,True,
gemma2_9b|B01|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,0,0,0,0.0,True,
gemma2_9b|B01|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,0,0,0,0.0,True,
gemma2_9b|B01|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B01|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B01|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-1,0,0,0,0.0,True,0.0
gemma2_9b|B01|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-1,0,0,0,0.0,True,0.0
gemma2_9b|B02|forward|history|run1,gemma2_9b,duty,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|B02|forward|history|run2,gemma2_9b,duty,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|B02|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-2,0,0,0,0.0,True,
gemma2_9b|B02|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-2,0,0,0,0.0,True,
gemma2_9b|B02|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B02|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B02|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B02|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B03|forward|history|run1,gemma2_9b,duty,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|B03|forward|history|run2,gemma2_9b,duty,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|B03|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-2,0,0,0,0.0,True,
gemma2_9b|B03|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-2,0,0,0,0.0,True,
gemma2_9b|B03|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B03|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B03|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B03|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B04|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,1,1,-1,1.0,True,
gemma2_9b|B04|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,1,1,-1,1.0,True,
gemma2_9b|B04|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,0,0,0,0.0,True,
gemma2_9b|B04|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,0,0,0,0.0,True,
gemma2_9b|B04|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B04|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B04|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-1,0,0,0,0.0,True,0.0
gemma2_9b|B04|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-1,0,0,0,0.0,True,0.0
gemma2_9b|B05|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,1,1,-1,1.0,True,
gemma2_9b|B05|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,1,1,-1,1.0,True,
gemma2_9b|B05|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,0,0,0,0.0,True,
gemma2_9b|B05|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,0,0,0,0.0,True,
gemma2_9b|B05|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B05|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B05|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-1,0,0,0,0.0,True,0.0
gemma2_9b|B05|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-1,0,0,0,0.0,True,0.0
gemma2_9b|B06|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,0,0,0,0.0,True,
gemma2_9b|B06|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,0,0,0,0.0,True,
gemma2_9b|B06|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,2,6,2,3.3333333333333335,True,
gemma2_9b|B06|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,2,6,2,3.3333333333333335,True,
gemma2_9b|B06|reverse|history|run1,gemma2_9b,duty,reverse,history,1,1,3,3,-3,3.0,True,-3.0
gemma2_9b|B06|reverse|history|run2,gemma2_9b,duty,reverse,history,2,1,3,3,-3,3.0,True,-3.0
gemma2_9b|B06|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,1,2,6,-2,3.3333333333333335,True,-2.0
gemma2_9b|B06|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,1,2,6,-2,3.3333333333333335,True,-2.0
gemma2_9b|B07|forward|history|run1,gemma2_9b,duty,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|B07|forward|history|run2,gemma2_9b,duty,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|B07|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-2,0,0,0,0.0,True,
gemma2_9b|B07|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-2,0,0,0,0.0,True,
gemma2_9b|B07|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B07|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B07|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B07|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B08|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,0,0,0,0.0,True,
gemma2_9b|B08|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,0,0,0,0.0,True,
gemma2_9b|B08|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,0,0,0,0.0,True,
gemma2_9b|B08|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,0,0,0,0.0,True,
gemma2_9b|B08|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B08|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B08|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-1,0,0,0,0.0,True,0.0
gemma2_9b|B08|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-1,0,0,0,0.0,True,0.0
gemma2_9b|B09|forward|history|run1,gemma2_9b,duty,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|B09|forward|history|run2,gemma2_9b,duty,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|B09|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-2,0,0,0,0.0,True,
gemma2_9b|B09|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-2,0,0,0,0.0,True,
gemma2_9b|B09|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-2,1,1,1,1.0,True,1.0
gemma2_9b|B09|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-2,1,1,1,1.0,True,1.0
gemma2_9b|B09|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B09|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B10|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,0,0,0,0.0,True,
gemma2_9b|B10|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,0,0,0,0.0,True,
gemma2_9b|B10|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,0,0,0,0.0,True,
gemma2_9b|B10|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,0,0,0,0.0,True,
gemma2_9b|B10|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B10|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B10|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-1,0,0,0,0.0,True,0.0
gemma2_9b|B10|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-1,0,0,0,0.0,True,0.0
gemma2_9b|B11|forward|history|run1,gemma2_9b,duty,forward,history,1,-1,1,1,-1,1.0,True,
gemma2_9b|B11|forward|history|run2,gemma2_9b,duty,forward,history,2,-1,1,1,-1,1.0,True,
gemma2_9b|B11|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-1,0,0,0,0.0,True,
gemma2_9b|B11|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-1,0,0,0,0.0,True,
gemma2_9b|B11|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B11|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-1,1,1,-1,1.0,True,-1.0
gemma2_9b|B11|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-1,0,0,0,0.0,True,0.0
gemma2_9b|B11|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-1,0,0,0,0.0,True,0.0
gemma2_9b|B12|forward|history|run1,gemma2_9b,duty,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|B12|forward|history|run2,gemma2_9b,duty,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|B12|forward|no_history|run1,gemma2_9b,duty,forward,no_history,1,-2,0,0,0,0.0,True,
gemma2_9b|B12|forward|no_history|run2,gemma2_9b,duty,forward,no_history,2,-2,0,0,0,0.0,True,
gemma2_9b|B12|reverse|history|run1,gemma2_9b,duty,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B12|reverse|history|run2,gemma2_9b,duty,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|B12|reverse|no_history|run1,gemma2_9b,duty,reverse,no_history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|B12|reverse|no_history|run2,gemma2_9b,duty,reverse,no_history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|C01|forward|history|run1,gemma2_9b,collective,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|C01|forward|history|run2,gemma2_9b,collective,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|C01|forward|no_history|run1,gemma2_9b,collective,forward,no_history,1,-2,1,2,0,1.0,True,
gemma2_9b|C01|forward|no_history|run2,gemma2_9b,collective,forward,no_history,2,-2,1,2,0,1.0,True,
gemma2_9b|C01|reverse|history|run1,gemma2_9b,collective,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|C01|reverse|history|run2,gemma2_9b,collective,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|C01|reverse|no_history|run1,gemma2_9b,collective,reverse,no_history,1,-2,1,2,0,1.0,True,0.0
gemma2_9b|C01|reverse|no_history|run2,gemma2_9b,collective,reverse,no_history,2,-2,1,2,0,1.0,True,0.0
gemma2_9b|C02|forward|history|run1,gemma2_9b,collective,forward,history,1,-1,0,0,0,0.0,True,
gemma2_9b|C02|forward|history|run2,gemma2_9b,collective,forward,history,2,-1,0,0,0,0.0,True,
gemma2_9b|C02|forward|no_history|run1,gemma2_9b,collective,forward,no_history,1,-1,1,1,-1,1.0,True,
gemma2_9b|C02|forward|no_history|run2,gemma2_9b,collective,forward,no_history,2,-1,1,1,-1,1.0,True,
gemma2_9b|C02|reverse|history|run1,gemma2_9b,collective,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|C02|reverse|history|run2,gemma2_9b,collective,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|C02|reverse|no_history|run1,gemma2_9b,collective,reverse,no_history,1,-2,1,1,1,1.0,True,1.0
gemma2_9b|C02|reverse|no_history|run2,gemma2_9b,collective,reverse,no_history,2,-2,1,1,1,1.0,True,1.0
gemma2_9b|C03|forward|history|run1,gemma2_9b,collective,forward,history,1,-2,0,0,0,0.0,True,
gemma2_9b|C03|forward|history|run2,gemma2_9b,collective,forward,history,2,-2,0,0,0,0.0,True,
gemma2_9b|C03|forward|no_history|run1,gemma2_9b,collective,forward,no_history,1,-2,0,0,0,0.0,True,
gemma2_9b|C03|forward|no_history|run2,gemma2_9b,collective,forward,no_history,2,-2,0,0,0,0.0,True,
gemma2_9b|C03|reverse|history|run1,gemma2_9b,collective,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|C03|reverse|history|run2,gemma2_9b,collective,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|C03|reverse|no_history|run1,gemma2_9b,collective,reverse,no_history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|C03|reverse|no_history|run2,gemma2_9b,collective,reverse,no_history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|C04|forward|history|run1,gemma2_9b,collective,forward,history,1,-1,0,0,0,0.0,True,
gemma2_9b|C04|forward|history|run2,gemma2_9b,collective,forward,history,2,-1,0,0,0,0.0,True,
gemma2_9b|C04|forward|no_history|run1,gemma2_9b,collective,forward,no_history,1,-1,1,1,-1,1.0,True,
gemma2_9b|C04|forward|no_history|run2,gemma2_9b,collective,forward,no_history,2,-1,1,1,-1,1.0,True,
gemma2_9b|C04|reverse|history|run1,gemma2_9b,collective,reverse,history,1,-2,0,0,0,0.0,True,0.0
gemma2_9b|C04|reverse|history|run2,gemma2_9b,collective,reverse,history,2,-2,0,0,0,0.0,True,0.0
gemma2_9b|C04|reverse|no_history|run1,gemma2_9b,collective,reverse,no_history,1,-2,1,1,1,1.0,True,1.0
gemma2_9b|C04|reverse|no_history|run2,gemma2_9b,collective,reverse,no_history,2,-2,1,1,1,1.0,True,1.0
gemma2_9b|C05|forward|history|run1,gemma2_9b,collective,forward,history,1,-1,0,0,0,0.0,True,
gemma2_9b|C05|forward|history|run2,gemma2_9b,collective,forward,history,2,-1,0,0,0,0.0,True,
gemma2_9b|C05|forward|no_history|run1,gemma2_9b,collective,forward,no_history,1,-1,0,0,0,0.0,True,
